filename,nav_angle_from_vertical_deg,n_nav_points,n_detection_lines,time_ms
bev,3.718,10,2,69.4
bev2,2.493,10,2,6.7
bev4,5.379,10,2,2.9
bev5,39.040,10,1,3.0
bev6,11.480,10,2,4.0
bev7,14.993,10,2,4.3
photo_10_2026-08-18_17-17-57,14.657,10,2,9.9
photo_11_2026-08-18_17-17-57,1.680,10,2,10.9
photo_12_2026-08-18_17-17-57,15.994,10,2,8.5
photo_13_2026-08-18_17-17-57,9.999,10,2,9.0
photo_14_2026-08-18_17-17-57,7.141,10,2,7.1
photo_15_2026-08-18_17-17-57,4.911,10,2,11.6
photo_16_2026-08-18_17-17-57,15.004,10,2,11.4
photo_17_2026-08-18_17-17-57,7.731,10,2,11.2
photo_1_2026-08-18_17-17-57,15.470,10,2,8.6
photo_2_2026-08-18_17-17-57,19.111,10,1,6.0
photo_3_2026-08-18_17-17-57,18.817,10,2,5.9
photo_4_2026-08-18_17-17-57,11.060,10,2,7.5
photo_5_2026-08-18_17-17-57,17.738,10,2,6.5
photo_6_2026-08-18_17-17-57,3.764,10,2,8.9
photo_7_2026-08-18_17-17-57,8.958,10,1,6.6
photo_8_2026-08-18_17-17-57,3.371,10,2,9.1
photo_9_2026-08-18_17-17-57,7.792,10,2,8.7
